MonthEnd,monthly_return,portfolio_value,n_start_positions,n_active_positions,n_carried_missing,n_terminal_zero,FiscalYear,RebalanceDate,Strategy,MKT_RF,SMB,HML,RMW,CMA,RF,excess_return
2020-06-30,0.019130325931799863,1.2070370564806088,5,5,0,0,2019,2020-03-31,gap_top_10pct,0.024399999999999998,0.0195,-0.0217,0.0014000000000000002,0.0055000000000000005,0.0001,0.019030325931799864
2020-07-31,0.10613109925697706,1.3351412261288016,5,5,0,0,2019,2020-03-31,gap_top_10pct,0.0583,-0.0319,-0.0144,0.0038,0.0097,0.0001,0.10603109925697705
2020-08-31,-0.0038557469977698045,1.3299932593545567,5,5,0,0,2019,2020-03-31,gap_top_10pct,0.0762,-0.0089,-0.0302,0.042699999999999995,-0.0151,0.0001,-0.003955746997769805
2020-09-30,-0.02664574635784145,1.2945545963081564,5,5,0,0,2019,2020-03-31,gap_top_10pct,-0.0364,-0.0001,-0.027200000000000002,-0.0138,-0.019299999999999998,0.0001,-0.026745746357841448
2020-10-31,-0.022967957143857354,1.264821321819767,5,5,0,0,2019,2020-03-31,gap_top_10pct,-0.0208,0.0467,0.0425,-0.0077,-0.005699999999999999,0.0001,-0.023067957143857353
2020-11-30,0.1778796495563646,1.4898072952964851,5,5,0,0,2019,2020-03-31,gap_top_10pct,0.1244,0.0712,0.0209,-0.0225,0.0128,0.0001,0.1777796495563646
2020-12-31,0.06266830707866977,1.5831709963661678,5,5,0,0,2019,2020-03-31,gap_top_10pct,0.0463,0.0493,-0.0168,-0.0197,-0.0006,0.0001,0.06256830707866977
2021-01-31,0.0029864293062289438,1.5878990246264872,5,5,0,0,2019,2020-03-31,gap_top_10pct,-0.0007000000000000001,0.0681,0.0322,-0.0365,0.049699999999999994,0.0,0.0029864293062289438
2021-02-28,0.07688890615061217,1.7099908437076419,5,5,0,0,2019,2020-03-31,gap_top_10pct,0.0281,0.045,0.07200000000000001,0.0033,-0.0199,0.0,0.07688890615061217
2021-03-31,0.017971674328668197,1.74072224225576,5,5,0,0,2019,2020-03-31,gap_top_10pct,0.0316,-0.0084,0.0735,0.0635,0.0352,0.0,0.017971674328668197
2020-04-30,0.11878614524983222,1.118786145249832,10,10,0,0,2019,2020-03-31,gap_top_20pct,0.1358,0.025699999999999997,-0.0134,0.0276,-0.0102,0.0,0.11878614524983222
2020-05-31,0.07414945162025499,1.201743524400446,10,10,0,0,2019,2020-03-31,gap_top_20pct,0.0559,0.0192,-0.05,0.0096,-0.0316,0.0001,0.07404945162025499
2020-06-30,0.011137901263325478,1.2151284251190588,10,10,0,0,2019,2020-03-31,gap_top_20pct,0.024399999999999998,0.0195,-0.0217,0.0014000000000000002,0.0055000000000000005,0.0001,0.011037901263325479
2020-07-31,0.06761898093022278,1.2972941709249561,10,10,0,0,2019,2020-03-31,gap_top_20pct,0.0583,-0.0319,-0.0144,0.0038,0.0097,0.0001,0.06751898093022278
2020-08-31,0.004559920489896285,1.3032097291963798,10,10,0,0,2019,2020-03-31,gap_top_20pct,0.0762,-0.0089,-0.0302,0.042699999999999995,-0.0151,0.0001,0.004459920489896285
2020-09-30,-0.03120458654663516,1.2625436084132544,10,10,0,0,2019,2020-03-31,gap_top_20pct,-0.0364,-0.0001,-0.027200000000000002,-0.0138,-0.019299999999999998,0.0001,-0.03130458654663516
2020-10-31,-0.020453468753932724,1.2367202121680965,10,10,0,0,2019,2020-03-31,gap_top_20pct,-0.0208,0.0467,0.0425,-0.0077,-0.005699999999999999,0.0001,-0.020553468753932724
2020-11-30,0.15432165723793023,1.427572924849522,10,10,0,0,2019,2020-03-31,gap_top_20pct,0.1244,0.0712,0.0209,-0.0225,0.0128,0.0001,0.15422165723793024
2020-12-31,0.057645992895350995,1.5098667835329929,10,10,0,0,2019,2020-03-31,gap_top_20pct,0.0463,0.0493,-0.0168,-0.0197,-0.0006,0.0001,0.05754599289535099
2021-01-31,0.0019031937586706515,1.512740352571837,10,10,0,0,2019,2020-03-31,gap_top_20pct,-0.0007000000000000001,0.0681,0.0322,-0.0365,0.049699999999999994,0.0,0.0019031937586706515
2021-02-28,0.06598965084606578,1.612565560258807,10,10,0,0,2019,2020-03-31,gap_top_20pct,0.0281,0.045,0.07200000000000001,0.0033,-0.0199,0.0,0.06598965084606578
2021-03-31,0.027397806624223753,1.6567463196476608,10,10,0,0,2019,2020-03-31,gap_top_20pct,0.0316,-0.0084,0.0735,0.0635,0.0352,0.0,0.027397806624223753
2020-04-30,0.13195013504229403,1.1319501350422938,15,15,0,0,2019,2020-03-31,gap_top_30pct,0.1358,0.025699999999999997,-0.0134,0.0276,-0.0102,0.0,0.13195013504229403
2020-05-31,0.0635644413661367,1.2039019130305801,15,15,0,0,2019,2020-03-31,gap_top_30pct,0.0559,0.0192,-0.05,0.0096,-0.0316,0.0001,0.0634644413661367
2020-06-30,0.036279718300017416,1.2475791352961816,15,15,0,0,2019,2020-03-31,gap_top_30pct,0.024399999999999998,0.0195,-0.0217,0.0014000000000000002,0.0055000000000000005,0.0001,0.03617971830001741
2020-07-31,0.06620265492075261,1.3301721862765257,15,15,0,0,2019,2020-03-31,gap_top_30pct,0.0583,-0.0319,-0.0144,0.0038,0.0097,0.0001,0.06610265492075261
2020-08-31,0.025123332296148826,1.3635905441234455,15,15,0,0,2019,2020-03-31,gap_top_30pct,0.0762,-0.0089,-0.0302,0.042699999999999995,-0.0151,0.0001,0.025023332296148827
2020-09-30,-0.03421719079709307,1.3169323063060616,15,15,0,0,2019,2020-03-31,gap_top_30pct,-0.0364,-0.0001,-0.027200000000000002,-0.0138,-0.019299999999999998,0.0001,-0.03431719079709307
2020-10-31,-0.0184589081160611,1.2926231738688856,15,15,0,0,2019,2020-03-31,gap_top_30pct,-0.0208,0.0467,0.0425,-0.0077,-0.005699999999999999,0.0001,-0.0185589081160611
2020-11-30,0.1650535881643005,1.5059752668602715,15,15,0,0,2019,2020-03-31,gap_top_30pct,0.1244,0.0712,0.0209,-0.0225,0.0128,0.0001,0.1649535881643005
2020-12-31,0.05791048961088885,1.5931870319060388,15,15,0,0,2019,2020-03-31,gap_top_30pct,0.0463,0.0493,-0.0168,-0.0197,-0.0006,0.0001,0.057810489610888846
2021-01-31,-0.0002568423620283866,1.5927778339856111,15,15,0,0,2019,2020-03-31,gap_top_30pct,-0.0007000000000000001,0.0681,0.0322,-0.0365,0.049699999999999994,0.0,-0.0002568423620283866
2021-02-28,0.0628932285643109,1.692952774350636,15,15,0,0,2019,2020-03-31,gap_top_30pct,0.0281,0.045,0.07200000000000001,0.0033,-0.0199,0.0,0.0628932285643109
