FiscalYear,model_type,sector_scope,train_start,train_end,n_train,n_test,rank_ic,w1,w2,w3,bias,ranknet_loss,n_ranknet_pairs
2018,ranknet,bio_it,2013,2017,203,49,0.13081632653061223,0.34309892396714264,0.22284519826746207,-0.02676911817696168,-0.21604328458702174,0.6605520742429082,4045
2019,ranknet,bio_it,2014,2018,211,52,0.22010202562056214,0.21550860581444883,0.1995455294800994,0.07530589882081473,-0.1836878246899715,0.6670405207877192,4401
2020,ranknet,bio_it,2015,2019,228,56,0.45947470059170287,0.24912262834585536,0.13722515797027263,0.04427510910449138,-0.1604945936590674,0.6724710442063672,5132
2021,ranknet,bio_it,2016,2020,243,62,0.6094281181536603,0.4060929841071278,0.15948909194751945,0.07323206175095595,-0.1421900972559683,0.6505989688922924,5852
2022,ranknet,bio_it,2017,2021,264,64,0.46799986266645227,0.5075735432758786,0.08269243175296907,0.12818080486782063,-0.11932116268456396,0.6343417746659621,6923
2023,ranknet,bio_it,2018,2022,283,67,0.5329236172080773,0.5307045169208116,-0.007707161391398851,0.08038361148045219,-0.11474448709427193,0.6325660480093249,7949
2024,ranknet,bio_it,2019,2023,301,73,0.5587634114337775,0.6789242194784859,-0.018675794585373367,0.04813468743901756,-0.05488477515915251,0.6188780739016287,8984
2025,ranknet,bio_it,2020,2024,322,74,0.6885797007201042,0.7547010185778227,-0.012819010579818175,0.10237459042510572,-0.046273795621472484,0.605087269801141,10286
