Strategy,status,n_obs,alpha_monthly,alpha_annualized,alpha_tstat,beta_mkt_rf,beta_smb,beta_hml,beta_rmw,beta_cma,mean_monthly_return,mean_monthly_excess_return,r_squared
gap_top_10pct,ok,84,0.020234404151947875,0.27174364370376014,3.1128529848835003,1.23949697007255,-0.15026007132886857,-0.0648850704613318,-0.142780324570635,-0.10614259715413835,0.034484045987587905,0.03229356979711172,0.5466388962916159
gap_top_20pct,ok,84,0.009864276172000232,0.12500929916615067,2.2229816845542034,1.2295962220717835,-0.0764293282935923,-0.032703586460737996,-0.0823050731827571,-0.1034346944816407,0.02413921240489421,0.021948736214418025,0.7207738631012877
gap_top_30pct,ok,84,0.008130936554888824,0.1020550929344326,2.3270676516600606,1.1461456560546701,0.06866376182229655,-0.10189228238314704,-0.05924020765459038,-0.042809176042309945,0.02127053982308461,0.01908006363260842,0.7898894362133432
gap_top_5pct,ok,84,0.015555492365862225,0.2034939496060726,2.548407901517435,1.3079252543092692,-0.19892595565588167,-0.1867184177099802,0.14875172779094945,-0.43770476143240017,0.03123199092620325,0.029041514735727067,0.6321156312722134
