Ticker,FiscalYear,model_type,sector_scope,Sector,MarketCap,m1,m2,m3,SP500MemberYear,SP500AsOfDate,y_actual,score,gap,Strategy,RebalanceDate,buy_date,sell_date,target_sell_date,buy_price,sell_price,position_return,price_status
VRSN,2018,ranknet,bio_it,Information Technology,21735445848.167175,-0.5126524781541777,0.9904686124948252,0.9662734389199904,2018,2018-12-31,-5.625493385202519,-1.190231553811843,4.435261831390676,gap_top_5pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,181.55999755859375,180.08999633789062,-0.008096503858063375,normal
LRCX,2018,ranknet,bio_it,Information Technology,2390488369.302398,0.2385890088542439,1.1258739768430304,1.2136828222782878,2018,2018-12-31,-2.4492249322669624,-0.021267100277061607,2.4279578319899007,gap_top_5pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,17.900999069213867,24.0,0.3407072927720103,normal
VRSN,2018,ranknet,bio_it,Information Technology,21735445848.167175,-0.5126524781541777,0.9904686124948252,0.9662734389199904,2018,2018-12-31,-5.625493385202519,-1.190231553811843,4.435261831390676,gap_top_10pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,181.55999755859375,180.08999633789062,-0.008096503858063375,normal
LRCX,2018,ranknet,bio_it,Information Technology,2390488369.302398,0.2385890088542439,1.1258739768430304,1.2136828222782878,2018,2018-12-31,-2.4492249322669624,-0.021267100277061607,2.4279578319899007,gap_top_10pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,17.900999069213867,24.0,0.3407072927720103,normal
NVDA,2018,ranknet,bio_it,Information Technology,3399567056.1274385,0.2431196741416662,1.1725324877851946,1.2865920907515362,2018,2018-12-31,-2.325034082830372,-0.010290662615487722,2.314743420214884,gap_top_10pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,4.488999843597412,6.590000152587891,0.4680330546206415,normal
ANET,2018,ranknet,bio_it,Information Technology,1488395604.7791004,0.101670451190171,1.7695625283116332,1.406572270917099,2018,2018-12-31,-1.7942518793353046,-0.06594686031248392,1.7283050190228206,gap_top_10pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,19.653749465942383,12.659375190734863,-0.3558798939270057,normal
VRSN,2018,ranknet,bio_it,Information Technology,21735445848.167175,-0.5126524781541777,0.9904686124948252,0.9662734389199904,2018,2018-12-31,-5.625493385202519,-1.190231553811843,4.435261831390676,gap_top_20pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,181.55999755859375,180.08999633789062,-0.008096503858063375,normal
LRCX,2018,ranknet,bio_it,Information Technology,2390488369.302398,0.2385890088542439,1.1258739768430304,1.2136828222782878,2018,2018-12-31,-2.4492249322669624,-0.021267100277061607,2.4279578319899007,gap_top_20pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,17.900999069213867,24.0,0.3407072927720103,normal
NVDA,2018,ranknet,bio_it,Information Technology,3399567056.1274385,0.2431196741416662,1.1725324877851946,1.2865920907515362,2018,2018-12-31,-2.325034082830372,-0.010290662615487722,2.314743420214884,gap_top_20pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,4.488999843597412,6.590000152587891,0.4680330546206415,normal
ANET,2018,ranknet,bio_it,Information Technology,1488395604.7791004,0.101670451190171,1.7695625283116332,1.406572270917099,2018,2018-12-31,-1.7942518793353046,-0.06594686031248392,1.7283050190228206,gap_top_20pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,19.653749465942383,12.659375190734863,-0.3558798939270057,normal
WDC,2018,ranknet,bio_it,Information Technology,12891933064.527676,0.0362799616921908,1.2093666724371483,1.1839770028746406,2018,2018-12-31,-1.387168548810333,-0.3050486495243803,1.0821198992859526,gap_top_20pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,36.32653045654297,31.458805084228516,-0.13399918217176454,normal
MU,2018,ranknet,bio_it,Information Technology,43736888817.66272,0.3706255755713514,1.0454218669957052,1.2351874870519992,2018,2018-12-31,-0.883348262894716,0.1558307598934389,1.039179022788155,gap_top_20pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,41.33000183105469,42.060001373291016,0.01766270287672289,normal
AAPL,2018,ranknet,bio_it,Information Technology,187134776646.81244,0.3921948254061151,1.0950603094481923,1.263684858432499,2018,2018-12-31,-0.8109878555771036,0.2002126992216097,1.0112005547987133,gap_top_20pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,47.48749923706055,63.5724983215332,0.3387207021404799,normal
HPE,2018,ranknet,bio_it,Information Technology,21805396859.17139,0.0582257348780043,0.4484479655543595,0.8171538632879548,2018,2018-12-31,-1.427649112679757,-0.4495131555769374,0.9781359571028196,gap_top_20pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,15.43000030517578,9.710000038146973,-0.3707064260465447,normal
INCY,2018,ranknet,bio_it,Health Care,18410296890.506554,0.022540568632765,5.0,1.2595581728883871,2018,2018-12-31,0.0,0.8048697363205659,0.8048697363205659,gap_top_20pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,86.01000213623047,73.2300033569336,-0.14858735567817738,normal
VRSN,2018,ranknet,bio_it,Information Technology,21735445848.167175,-0.5126524781541777,0.9904686124948252,0.9662734389199904,2018,2018-12-31,-5.625493385202519,-1.190231553811843,4.435261831390676,gap_top_30pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,181.55999755859375,180.08999633789062,-0.008096503858063375,normal
LRCX,2018,ranknet,bio_it,Information Technology,2390488369.302398,0.2385890088542439,1.1258739768430304,1.2136828222782878,2018,2018-12-31,-2.4492249322669624,-0.021267100277061607,2.4279578319899007,gap_top_30pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,17.900999069213867,24.0,0.3407072927720103,normal
NVDA,2018,ranknet,bio_it,Information Technology,3399567056.1274385,0.2431196741416662,1.1725324877851946,1.2865920907515362,2018,2018-12-31,-2.325034082830372,-0.010290662615487722,2.314743420214884,gap_top_30pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,4.488999843597412,6.590000152587891,0.4680330546206415,normal
ANET,2018,ranknet,bio_it,Information Technology,1488395604.7791004,0.101670451190171,1.7695625283116332,1.406572270917099,2018,2018-12-31,-1.7942518793353046,-0.06594686031248392,1.7283050190228206,gap_top_30pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,19.653749465942383,12.659375190734863,-0.3558798939270057,normal
WDC,2018,ranknet,bio_it,Information Technology,12891933064.527676,0.0362799616921908,1.2093666724371483,1.1839770028746406,2018,2018-12-31,-1.387168548810333,-0.3050486495243803,1.0821198992859526,gap_top_30pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,36.32653045654297,31.458805084228516,-0.13399918217176454,normal
MU,2018,ranknet,bio_it,Information Technology,43736888817.66272,0.3706255755713514,1.0454218669957052,1.2351874870519992,2018,2018-12-31,-0.883348262894716,0.1558307598934389,1.039179022788155,gap_top_30pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,41.33000183105469,42.060001373291016,0.01766270287672289,normal
AAPL,2018,ranknet,bio_it,Information Technology,187134776646.81244,0.3921948254061151,1.0950603094481923,1.263684858432499,2018,2018-12-31,-0.8109878555771036,0.2002126992216097,1.0112005547987133,gap_top_30pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,47.48749923706055,63.5724983215332,0.3387207021404799,normal
HPE,2018,ranknet,bio_it,Information Technology,21805396859.17139,0.0582257348780043,0.4484479655543595,0.8171538632879548,2018,2018-12-31,-1.427649112679757,-0.4495131555769374,0.9781359571028196,gap_top_30pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,15.43000030517578,9.710000038146973,-0.3707064260465447,normal
INCY,2018,ranknet,bio_it,Health Care,18410296890.506554,0.022540568632765,5.0,1.2595581728883871,2018,2018-12-31,0.0,0.8048697363205659,0.8048697363205659,gap_top_30pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,86.01000213623047,73.2300033569336,-0.14858735567817738,normal
