FiscalYear,RebalanceDate,Strategy,n_selected,n_priced,n_delisted_zero,n_price_missing,return
2016,2017-03-31,gap_top_5pct,2,2,0,0,0.47188686493499965
2016,2017-03-31,gap_top_10pct,4,4,0,0,0.6013826153271828
2016,2017-03-31,gap_top_20pct,8,8,0,0,0.3687485023382723
2016,2017-03-31,gap_top_30pct,12,12,0,0,0.3152761670394584
2017,2018-03-31,gap_top_5pct,2,2,0,0,0.15335610573917563
2017,2018-03-31,gap_top_10pct,4,4,0,0,0.07999441347367695
2017,2018-03-31,gap_top_20pct,9,9,0,0,0.04236770826644118
2017,2018-03-31,gap_top_30pct,13,13,0,0,0.0595662135249002
2018,2019-03-31,gap_top_5pct,2,2,0,0,0.16630539445697345
2018,2019-03-31,gap_top_10pct,4,4,0,0,0.11119098740189567
2018,2019-03-31,gap_top_20pct,9,9,0,0,0.08037730972357077
2018,2019-03-31,gap_top_30pct,14,14,0,0,0.03987242627117937
2019,2020-03-31,gap_top_5pct,2,2,0,0,0.5646007494260912
2019,2020-03-31,gap_top_10pct,5,5,0,0,0.7689824597884428
2019,2020-03-31,gap_top_20pct,10,10,0,0,0.7033971237851316
2019,2020-03-31,gap_top_30pct,15,15,0,0,0.7463411751995057
2020,2021-03-31,gap_top_5pct,2,2,0,0,0.581701164319336
2020,2021-03-31,gap_top_10pct,5,5,0,0,0.45322272266950636
2020,2021-03-31,gap_top_20pct,11,11,0,0,0.192967802914749
2020,2021-03-31,gap_top_30pct,16,16,0,0,0.18411270602707414
2021,2022-03-31,gap_top_5pct,3,3,0,0,-0.015322970424353119
2021,2022-03-31,gap_top_10pct,6,6,0,0,-0.054505775268847846
2021,2022-03-31,gap_top_20pct,12,12,0,0,-0.040582746212196506
2021,2022-03-31,gap_top_30pct,18,18,0,0,-0.037154071758985885
2022,2023-03-31,gap_top_5pct,3,3,0,0,0.5984889714961826
2022,2023-03-31,gap_top_10pct,6,6,0,0,0.7589559044636082
2022,2023-03-31,gap_top_20pct,12,12,0,0,0.6547794845786399
2022,2023-03-31,gap_top_30pct,19,19,0,0,0.5224619154366005
2023,2024-03-31,gap_top_5pct,3,3,0,0,0.18789152954868882
2023,2024-03-31,gap_top_10pct,6,6,0,0,0.08016959238246944
2023,2024-03-31,gap_top_20pct,13,13,0,0,0.06109739498082851
2023,2024-03-31,gap_top_30pct,20,20,0,0,0.003336012288442164
2024,2025-03-31,gap_top_5pct,3,3,0,0,0.9030367816926012
2024,2025-03-31,gap_top_10pct,7,7,0,0,1.492280668348761
2024,2025-03-31,gap_top_20pct,14,14,0,0,0.8756829443475288
2024,2025-03-31,gap_top_30pct,21,21,0,0,0.7207347328560607
