MonthEnd,monthly_return,portfolio_value,n_start_positions,n_active_positions,n_carried_missing,n_terminal_zero,FiscalYear,RebalanceDate,Strategy
2017-04-30,0.07462252226176691,1.074622522261767,2,2,0,0,2016,2017-03-31,gap_top_5pct
2017-05-31,0.04403120818189965,1.1219394502564328,2,2,0,0,2016,2017-03-31,gap_top_5pct
2017-06-30,-0.03337948280409753,1.0844896916693596,2,2,0,0,2016,2017-03-31,gap_top_5pct
2017-07-31,0.10821356398850579,1.2018461863136967,2,2,0,0,2016,2017-03-31,gap_top_5pct
2017-08-31,0.03345367475303762,1.2420523577338138,2,2,0,0,2016,2017-03-31,gap_top_5pct
2017-09-30,0.0719756828281719,1.331449924290046,2,2,0,0,2016,2017-03-31,gap_top_5pct
2017-10-31,0.07371087378940633,1.4295922616163041,2,2,0,0,2016,2017-03-31,gap_top_5pct
2017-11-30,-0.013816095647281479,1.4098408781932,2,2,0,0,2016,2017-03-31,gap_top_5pct
2017-12-31,-0.025508857798448914,1.3738774477129292,2,2,0,0,2016,2017-03-31,gap_top_5pct
2018-01-31,0.023128036850042166,1.4056525359510756,2,2,0,0,2016,2017-03-31,gap_top_5pct
2018-02-28,0.005433962219593136,1.4132907987253092,2,2,0,0,2016,2017-03-31,gap_top_5pct
2018-03-31,0.04146072857938354,1.4718868649349994,2,2,0,0,2016,2017-03-31,gap_top_5pct
2017-04-30,0.06765391634633389,1.0676539163463339,4,4,0,0,2016,2017-03-31,gap_top_10pct
2017-05-31,0.0895038074860981,1.1632130069367748,4,4,0,0,2016,2017-03-31,gap_top_10pct
2017-06-30,-0.01966334026250094,1.14034035378361,4,4,0,0,2016,2017-03-31,gap_top_10pct
2017-07-31,0.14732278412904543,1.308338469557712,4,4,0,0,2016,2017-03-31,gap_top_10pct
2017-08-31,-0.00749501848387768,1.2985324485452088,4,4,0,0,2016,2017-03-31,gap_top_10pct
2017-09-30,0.044508970613300836,1.3563287911379251,4,4,0,0,2016,2017-03-31,gap_top_10pct
2017-10-31,0.09512250540952971,1.4853461839100432,4,4,0,0,2016,2017-03-31,gap_top_10pct
2017-11-30,0.019199763080611554,1.5138644787338067,4,4,0,0,2016,2017-03-31,gap_top_10pct
2017-12-31,0.0162517943910212,1.5384674929780588,4,4,0,0,2016,2017-03-31,gap_top_10pct
2018-01-31,0.003832003545124696,1.54436290586521,4,4,0,0,2016,2017-03-31,gap_top_10pct
2018-02-28,-0.02829190308588303,1.5006699402030388,4,4,0,0,2016,2017-03-31,gap_top_10pct
2018-03-31,0.06711180948324813,1.6013826153271824,4,4,0,0,2016,2017-03-31,gap_top_10pct
2017-04-30,0.05886015260342381,1.0588601526034238,8,8,0,0,2016,2017-03-31,gap_top_20pct
2017-05-31,0.05472266462917896,1.1168038016235422,8,8,0,0,2016,2017-03-31,gap_top_20pct
2017-06-30,-0.023104153974367048,1.0910009946316734,8,8,0,0,2016,2017-03-31,gap_top_20pct
2017-07-31,0.08243714151711101,1.1809399980214335,8,8,0,0,2016,2017-03-31,gap_top_20pct
2017-08-31,0.009530951844141322,1.192195480273396,8,8,0,0,2016,2017-03-31,gap_top_20pct
2017-09-30,0.024317883495012405,1.2211871510659649,8,8,0,0,2016,2017-03-31,gap_top_20pct
