FiscalYear,model_type,sector_scope,train_start,train_end,n_train,n_test,rank_ic,w1,w2,w3,bias,ranknet_loss,n_ranknet_pairs,Experiment,Universe,Model,SectorScope,WindowYears
2022,mse,bio_it,2019,2021,170,64,0.4608569237587165,0.737014211689055,0.2283528762863027,-0.0165575504748085,-0.1095156942667644,,0,sp500_mse_bio_it_w3,S&P500,mse,bio_it,3
2023,mse,bio_it,2020,2022,182,67,0.5015962965919069,0.7516744812037169,0.1992154282577729,-0.0476234129961802,-0.0889555919089489,,0,sp500_mse_bio_it_w3,S&P500,mse,bio_it,3
2024,mse,bio_it,2021,2023,193,73,0.5234367166384005,0.6111531368293461,0.0115411229861774,-0.011826471564459,-0.0154847779176536,,0,sp500_mse_bio_it_w3,S&P500,mse,bio_it,3
2025,mse,bio_it,2022,2024,204,74,0.7232634081161486,0.714985106909551,0.0628892005749631,0.0050126583316034,-0.0164396826351213,,0,sp500_mse_bio_it_w3,S&P500,mse,bio_it,3
2018,ranknet,all,2013,2017,1330,307,0.4573702920545317,0.5835396769617076,0.0479909898863143,0.0311351912355215,-0.0985953803507686,0.6364832401477524,25000,sp500_ranknet_all_w5,S&P500,ranknet,all,5
2019,ranknet,all,2014,2018,1395,321,0.4830003627482969,0.6093027657329515,0.031785004653411,0.0014004832548086,-0.0923800936340347,0.6304290019740031,25000,sp500_ranknet_all_w5,S&P500,ranknet,all,5
2020,ranknet,all,2015,2019,1472,332,0.4081729123441266,0.6224837229499895,0.019297683064615,0.0131120169468198,-0.0895252656144561,0.6292215066202617,25000,sp500_ranknet_all_w5,S&P500,ranknet,all,5
2021,ranknet,all,2016,2020,1537,356,0.4635122102519125,0.4522879508073669,0.0660067504353377,-0.0218886368176189,-0.0846611857202582,0.6556249007110321,25000,sp500_ranknet_all_w5,S&P500,ranknet,all,5
2022,ranknet,all,2017,2021,1611,370,0.4861649214524593,0.4476275769494336,0.0198800108106481,-0.027072690529366,-0.076315243914794,0.6572599899901099,25000,sp500_ranknet_all_w5,S&P500,ranknet,all,5
2023,ranknet,all,2018,2022,1686,375,0.6382487876308666,0.4274250629830164,0.0007767217901582,0.0251996353975113,-0.0685453225273116,0.6593953221175519,25000,sp500_ranknet_all_w5,S&P500,ranknet,all,5
2024,ranknet,all,2019,2023,1754,373,0.654073065626094,0.4164202048555733,0.0261796017569514,0.0409304361960947,-0.0638049858883579,0.6600231311699288,25000,sp500_ranknet_all_w5,S&P500,ranknet,all,5
2025,ranknet,all,2020,2024,1806,382,0.6965450936333214,0.4098443614329008,0.0355156569254429,0.0690280133845648,-0.0629383014121013,0.6595074692160435,25000,sp500_ranknet_all_w5,S&P500,ranknet,all,5
2016,ranknet,all,2013,2015,753,282,0.4848280129147975,0.5815354702429413,0.0090404698530239,0.0484533293754192,-0.0817233650676697,0.6359883605395866,15000,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2017,ranknet,all,2014,2016,793,295,0.4300038061155034,0.5941434735729184,0.027711102029622,0.0498340257288888,-0.0948537350978275,0.632958243734212,15000,sp500_ranknet_all_w3,S&P500,ranknet,all,3
2018,ranknet,all,2015,2017,844,307,0.4320913462784754,0.5738196452082699,0.0412653279152862,0.0564643392971023,-0.1067972898346813,0.6377964279450944,15000,sp500_ranknet_all_w3,S&P500,ranknet,all,3
