FiscalYear,RebalanceDate,Strategy,n_selected,n_priced,n_delisted_zero,n_price_missing,return,Experiment,Universe,Model,SectorScope,WindowYears
2024,2025-03-31,gap_top_10pct,37,37,0,0,0.2180667179914742,sp500_mse_all_w3,S&P500,mse,all,3
2016,2017-03-31,gap_top_20pct,56,56,0,0,0.1257076489618478,sp500_mse_all_w3,S&P500,mse,all,3
2017,2018-03-31,gap_top_20pct,58,58,1,0,0.0286232969021596,sp500_mse_all_w3,S&P500,mse,all,3
2018,2019-03-31,gap_top_20pct,61,61,0,0,-0.19656466997686,sp500_mse_all_w3,S&P500,mse,all,3
2019,2020-03-31,gap_top_20pct,64,64,0,0,0.96378973333855,sp500_mse_all_w3,S&P500,mse,all,3
2020,2021-03-31,gap_top_20pct,66,66,0,0,0.131200132700904,sp500_mse_all_w3,S&P500,mse,all,3
2021,2022-03-31,gap_top_20pct,71,71,0,0,-0.0415418910769935,sp500_mse_all_w3,S&P500,mse,all,3
2022,2023-03-31,gap_top_20pct,74,74,0,0,0.2291433682520214,sp500_mse_all_w3,S&P500,mse,all,3
2023,2024-03-31,gap_top_20pct,75,75,0,0,-0.0079504491132628,sp500_mse_all_w3,S&P500,mse,all,3
2024,2025-03-31,gap_top_20pct,74,74,0,0,0.2518268338786983,sp500_mse_all_w3,S&P500,mse,all,3
2016,2017-03-31,gap_top_30pct,84,84,0,0,0.1382426740820619,sp500_mse_all_w3,S&P500,mse,all,3
2017,2018-03-31,gap_top_30pct,88,88,1,0,0.0274396360007283,sp500_mse_all_w3,S&P500,mse,all,3
2018,2019-03-31,gap_top_30pct,92,92,0,0,-0.2115941036540018,sp500_mse_all_w3,S&P500,mse,all,3
2019,2020-03-31,gap_top_30pct,96,96,0,0,0.8537114851357744,sp500_mse_all_w3,S&P500,mse,all,3
2020,2021-03-31,gap_top_30pct,99,99,0,0,0.1092023859084111,sp500_mse_all_w3,S&P500,mse,all,3
2021,2022-03-31,gap_top_30pct,106,106,0,0,-0.0455189554767292,sp500_mse_all_w3,S&P500,mse,all,3
2022,2023-03-31,gap_top_30pct,111,111,0,0,0.206429024738873,sp500_mse_all_w3,S&P500,mse,all,3
2023,2024-03-31,gap_top_30pct,112,112,0,0,0.0045066820445508,sp500_mse_all_w3,S&P500,mse,all,3
2024,2025-03-31,gap_top_30pct,111,111,0,0,0.2497239649560768,sp500_mse_all_w3,S&P500,mse,all,3
2018,2019-03-31,gap_top_5pct,2,2,0,0,0.1663053944569734,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
2019,2020-03-31,gap_top_5pct,2,2,0,0,0.5646007494260912,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
2020,2021-03-31,gap_top_5pct,2,2,0,0,0.6457879852987656,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
2021,2022-03-31,gap_top_5pct,3,3,0,0,-0.0153229704243531,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
2022,2023-03-31,gap_top_5pct,3,3,0,0,0.5984889714961826,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
2023,2024-03-31,gap_top_5pct,3,3,0,0,0.1878915295486888,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
2024,2025-03-31,gap_top_5pct,3,3,0,0,0.8201070223526363,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
2018,2019-03-31,gap_top_10pct,4,4,0,0,0.1111909874018956,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
2019,2020-03-31,gap_top_10pct,5,5,0,0,0.7820376528266635,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
2020,2021-03-31,gap_top_10pct,5,5,0,0,0.4310925140413947,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
2021,2022-03-31,gap_top_10pct,6,6,0,0,-0.0545057752688478,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
2022,2023-03-31,gap_top_10pct,6,6,0,0,0.9689428512244792,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
2023,2024-03-31,gap_top_10pct,6,6,0,0,0.0352220946809552,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
2024,2025-03-31,gap_top_10pct,7,7,0,0,0.758579129755715,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
2018,2019-03-31,gap_top_20pct,9,9,0,0,0.0075720668031385,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
2019,2020-03-31,gap_top_20pct,10,10,0,0,0.7898761431096204,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
2020,2021-03-31,gap_top_20pct,11,11,0,0,0.2983987310337744,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
2021,2022-03-31,gap_top_20pct,12,12,0,0,-0.0614200204768134,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
2022,2023-03-31,gap_top_20pct,12,12,0,0,0.6547794845786399,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
