FiscalYear,RebalanceDate,Strategy,n_selected,n_priced,n_delisted_zero,n_price_missing,return,Experiment,Universe,Model,SectorScope,WindowYears
2018,2019-03-31,gap_top_30pct,14,14,0,0,0.0166682215741591,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2019,2020-03-31,gap_top_30pct,15,15,0,0,0.7463411751995057,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2020,2021-03-31,gap_top_30pct,16,16,0,0,0.1891453988216833,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2021,2022-03-31,gap_top_30pct,18,18,0,0,-0.0624145390537363,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2022,2023-03-31,gap_top_30pct,19,19,0,0,0.5224619154366006,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2023,2024-03-31,gap_top_30pct,20,20,0,0,0.0033360122884421,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2024,2025-03-31,gap_top_30pct,21,21,0,0,0.6285453281338363,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
2016,2017-03-31,gap_top_5pct,2,2,0,0,0.4718868649349996,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2017,2018-03-31,gap_top_5pct,2,2,0,0,0.1533561057391756,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2018,2019-03-31,gap_top_5pct,2,2,0,0,0.1663053944569734,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2019,2020-03-31,gap_top_5pct,2,2,0,0,0.5646007494260912,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2020,2021-03-31,gap_top_5pct,2,2,0,0,0.581701164319336,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2021,2022-03-31,gap_top_5pct,3,3,0,0,-0.0153229704243531,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2022,2023-03-31,gap_top_5pct,3,3,0,0,0.5984889714961826,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2023,2024-03-31,gap_top_5pct,3,3,0,0,0.1878915295486888,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2024,2025-03-31,gap_top_5pct,3,3,0,0,0.9030367816926012,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2016,2017-03-31,gap_top_10pct,4,4,0,0,0.6013826153271828,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2017,2018-03-31,gap_top_10pct,4,4,0,0,0.0799944134736769,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2018,2019-03-31,gap_top_10pct,4,4,0,0,0.1111909874018956,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2019,2020-03-31,gap_top_10pct,5,5,0,0,0.7689824597884428,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2020,2021-03-31,gap_top_10pct,5,5,0,0,0.4532227226695063,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2021,2022-03-31,gap_top_10pct,6,6,0,0,-0.0545057752688478,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2022,2023-03-31,gap_top_10pct,6,6,0,0,0.7589559044636082,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2023,2024-03-31,gap_top_10pct,6,6,0,0,0.0801695923824694,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2024,2025-03-31,gap_top_10pct,7,7,0,0,1.492280668348761,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2016,2017-03-31,gap_top_20pct,8,8,0,0,0.3687485023382723,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2017,2018-03-31,gap_top_20pct,9,9,0,0,0.0423677082664411,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2018,2019-03-31,gap_top_20pct,9,9,0,0,0.0803773097235707,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2019,2020-03-31,gap_top_20pct,10,10,0,0,0.7033971237851316,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2020,2021-03-31,gap_top_20pct,11,11,0,0,0.192967802914749,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2021,2022-03-31,gap_top_20pct,12,12,0,0,-0.0405827462121965,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2022,2023-03-31,gap_top_20pct,12,12,0,0,0.6547794845786399,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2023,2024-03-31,gap_top_20pct,13,13,0,0,0.0610973949808285,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2024,2025-03-31,gap_top_20pct,14,14,0,0,0.8756829443475288,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2016,2017-03-31,gap_top_30pct,12,12,0,0,0.3152761670394584,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2017,2018-03-31,gap_top_30pct,13,13,0,0,0.0595662135249002,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2018,2019-03-31,gap_top_30pct,14,14,0,0,0.0398724262711793,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2019,2020-03-31,gap_top_30pct,15,15,0,0,0.7463411751995057,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2020,2021-03-31,gap_top_30pct,16,16,0,0,0.1841127060270741,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2021,2022-03-31,gap_top_30pct,18,18,0,0,-0.0371540717589858,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2022,2023-03-31,gap_top_30pct,19,19,0,0,0.5224619154366005,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2023,2024-03-31,gap_top_30pct,20,20,0,0,0.0033360122884421,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
2024,2025-03-31,gap_top_30pct,21,21,0,0,0.7207347328560607,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
