Experiment,Universe,Model,SectorScope,WindowYears,ic_years,rank_ic_mean,rank_ic_std,rank_ic_tstat_mean_eq_0,rank_ic_pvalue_two_sided,rank_ic_ci95_low,rank_ic_ci95_high,n_train_mean,n_test_mean,w1_mean,w2_mean,w3_mean,bias_mean,ranknet_loss_mean,n_ranknet_pairs_mean
sp500_mse_all_w5,S&P500,mse,all,5,8,0.5403596353763054,0.11664392166431345,13.102850350100143,3.517200358973323e-06,0.4428428764840022,0.6378763942686085,1573.875,352.0,0.5866037276997552,-0.0075458245858131,0.047998064195272354,-0.0795957223827603,,0.0
sp500_mse_all_w3,S&P500,mse,all,3,10,0.509069557877502,0.11220280849342824,14.347406379245008,1.659049015130202e-07,0.4288045039504409,0.589334611804563,944.3,339.3,0.5985067956072676,-0.0042824383730525484,0.058269763833497565,-0.07915966520599835,,0.0
sp500_mse_bio_it_w5,S&P500,mse,bio_it,5,8,0.4742644474869503,0.19324371935354093,6.941609445638502,0.00022285883943334482,0.3127086551338497,0.6358202398400509,256.875,62.125,0.6079338825868343,0.1370222540789352,0.02845226266021891,-0.12970500259393614,,0.0
sp500_mse_bio_it_w3,S&P500,mse,bio_it,3,10,0.42253577023465627,0.19165291445226476,6.97185028807843,6.524657200629596e-05,0.28543553432843616,0.5596360061408764,154.8,58.3,0.6314055096923687,0.12979612463243817,0.017528563376695967,-0.13226270857329228,,0.0
sp500_ranknet_all_w5,S&P500,ranknet,all,5,8,0.5358859557177011,0.10904786499164867,13.899532769748047,2.3586712655409028e-06,0.4447196591256307,0.6270522523097716,1573.875,352.0,0.4961164153341175,0.03092905241535982,0.016480556133541976,-0.0795957223827603,0.6484930702433354,25000.0
sp500_ranknet_all_w3,S&P500,ranknet,all,3,10,0.5100169646420524,0.0951332932308531,16.953215838757377,3.8797984960181226e-08,0.44196270633994783,0.5780712229441569,944.3,339.3,0.508882531385553,0.027982727910765438,0.03417924272891354,-0.07915966520599835,0.6446280107872516,15000.0
sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5,8,0.4585109703656186,0.19109046941894764,6.786653826950206,0.0002562985913575286,0.29875534000733583,0.6182666007239014,256.875,62.125,0.4607158050609466,0.09532443035771651,0.06563970571396202,-0.1297050025939362,0.642691971813418,6696.5
sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3,10,0.43814462355926764,0.18153781037079295,7.632211450465257,3.2173700337184416e-05,0.30828029721251926,0.568008949906016,154.8,58.3,0.46066357320898277,0.07467916470414819,0.06605644037085436,-0.1322627085732923,0.6393841861818963,4079.7
