MonthEnd,monthly_return,portfolio_value,n_start_positions,n_active_positions,n_carried_missing,n_terminal_zero,FiscalYear,RebalanceDate,Strategy
2019-04-30,0.12314070873794636,1.1231407087379464,2,2,0,0,2018,2019-03-31,gap_top_5pct
2019-05-31,-0.08767646955438357,1.024667696582995,2,2,0,0,2018,2019-03-31,gap_top_5pct
2019-06-30,0.07417401538998059,1.1006714140789582,2,2,0,0,2018,2019-03-31,gap_top_5pct
2019-07-31,0.05753628094304397,1.1639999537853827,2,2,0,0,2018,2019-03-31,gap_top_5pct
2019-08-31,-0.012569849720594939,1.149368649291521,2,2,0,0,2018,2019-03-31,gap_top_5pct
2019-09-30,0.013593680784975692,1.1649927998142486,2,2,0,0,2018,2019-03-31,gap_top_5pct
2019-10-31,0.09902037405512965,1.2803508226233884,2,2,0,0,2018,2019-03-31,gap_top_5pct
2019-11-30,-0.007635632236293488,1.2705745346084003,2,2,0,0,2018,2019-03-31,gap_top_5pct
2019-12-31,0.06041607299334073,1.3473376584347814,2,2,0,0,2018,2019-03-31,gap_top_5pct
2020-01-31,0.043644295764814434,1.4061412616945814,2,2,0,0,2018,2019-03-31,gap_top_5pct
2020-02-29,-0.04551149344820138,1.3421456728757228,2,2,0,0,2018,2019-03-31,gap_top_5pct
2020-03-31,-0.13101430192893204,1.1663053944569732,2,2,0,0,2018,2019-03-31,gap_top_5pct
2019-04-30,0.06185010319580608,1.061850103195806,4,4,0,0,2018,2019-03-31,gap_top_10pct
2019-05-31,-0.15676783999090527,0.8953861561236797,4,4,0,0,2018,2019-03-31,gap_top_10pct
2019-06-30,0.10052330413352006,0.9853933310126437,4,4,0,0,2018,2019-03-31,gap_top_10pct
2019-07-31,0.04963571960416946,1.034304038090606,4,4,0,0,2018,2019-03-31,gap_top_10pct
2019-08-31,-0.04469752920710468,0.9880732031390247,4,4,0,0,2018,2019-03-31,gap_top_10pct
2019-09-30,0.027046766963079172,1.0147973888067892,4,4,0,0,2018,2019-03-31,gap_top_10pct
2019-10-31,0.09823943271725466,1.1144905086061194,4,4,0,0,2018,2019-03-31,gap_top_10pct
2019-11-30,-0.020015227263786017,1.0921837277930355,4,4,0,0,2018,2019-03-31,gap_top_10pct
2019-12-31,0.06482176268303275,1.1629810022023057,4,4,0,0,2018,2019-03-31,gap_top_10pct
2020-01-31,0.040265191306399384,1.2098086547416897,4,4,0,0,2018,2019-03-31,gap_top_10pct
2020-02-29,-0.007593259625249149,1.2006222635293626,4,4,0,0,2018,2019-03-31,gap_top_10pct
2020-03-31,-0.07448743775962807,1.1111909874018955,4,4,0,0,2018,2019-03-31,gap_top_10pct
2019-04-30,0.05155679063311691,1.0515567906331171,9,9,0,0,2018,2019-03-31,gap_top_20pct
2019-05-31,-0.16768178322465543,0.8752298728177604,9,9,0,0,2018,2019-03-31,gap_top_20pct
2019-06-30,0.12877001911173402,0.987933240267664,9,9,0,0,2018,2019-03-31,gap_top_20pct
2019-07-31,0.05558867372218823,1.0428511388202075,9,9,0,0,2018,2019-03-31,gap_top_20pct
2019-08-31,-0.02396053106896745,1.0178638717081978,9,9,0,0,2018,2019-03-31,gap_top_20pct
2019-09-30,0.039320128547780664,1.057886409987906,9,9,0,0,2018,2019-03-31,gap_top_20pct
2019-10-31,0.06277365200302354,1.1242938033472147,9,9,0,0,2018,2019-03-31,gap_top_20pct
2019-11-30,-0.001882427291675981,1.1221774020079318,9,9,0,0,2018,2019-03-31,gap_top_20pct
2019-12-31,0.0885205309995154,1.2215131415093305,9,9,0,0,2018,2019-03-31,gap_top_20pct
2020-01-31,0.007141608272321909,1.2302367098654834,9,9,0,0,2018,2019-03-31,gap_top_20pct
2020-02-29,-0.05446789963440013,1.1632283002259756,9,9,0,0,2018,2019-03-31,gap_top_20pct
2020-03-31,-0.1338140014239667,1.0075720668031385,9,9,0,0,2018,2019-03-31,gap_top_20pct
2019-04-30,0.040150667541644314,1.0401506675416439,14,14,0,0,2018,2019-03-31,gap_top_30pct
2019-05-31,-0.15455369763320392,0.8793915357774374,14,14,0,0,2018,2019-03-31,gap_top_30pct
2019-06-30,0.11971909456115415,0.9846714942054551,14,14,0,0,2018,2019-03-31,gap_top_30pct
2019-07-31,0.031730028739696436,1.015915149015754,14,14,0,0,2018,2019-03-31,gap_top_30pct
2019-08-31,-0.025265548145019134,0.9902474959070423,14,14,0,0,2018,2019-03-31,gap_top_30pct
2019-09-30,0.03036649215691445,1.0203178387249077,14,14,0,0,2018,2019-03-31,gap_top_30pct
2019-10-31,0.06577528578486436,1.0874295361584336,14,14,0,0,2018,2019-03-31,gap_top_30pct
2019-11-30,0.025643834663183318,1.1153153993915426,14,14,0,0,2018,2019-03-31,gap_top_30pct
2019-12-31,0.05731632998757741,1.1792411848632949,14,14,0,0,2018,2019-03-31,gap_top_30pct
2020-01-31,0.005368680643209389,1.1855721541861457,14,14,0,0,2018,2019-03-31,gap_top_30pct
2020-02-29,-0.059849028179035035,1.1146168129219798,14,14,0,0,2018,2019-03-31,gap_top_30pct
2020-03-31,-0.09028476600755364,1.0139838947792337,14,14,0,0,2018,2019-03-31,gap_top_30pct
2020-04-30,0.13602648711777343,1.1360264871177734,2,2,0,0,2019,2020-03-31,gap_top_5pct
2020-05-31,0.12802274820745962,1.281463720035057,2,2,0,0,2019,2020-03-31,gap_top_5pct
2020-06-30,0.010453140304337083,1.2948590400955011,2,2,0,0,2019,2020-03-31,gap_top_5pct
2020-07-31,0.07584999726011676,1.3930740947389824,2,2,0,0,2019,2020-03-31,gap_top_5pct
2020-08-31,0.15652549591117282,1.6111257082590096,2,2,0,0,2019,2020-03-31,gap_top_5pct
2020-09-30,-0.009799944775854441,1.595336765291112,2,2,0,0,2019,2020-03-31,gap_top_5pct
2020-10-31,-0.07201797200229176,1.4804438467941499,2,2,0,0,2019,2020-03-31,gap_top_5pct
2020-11-30,0.06325049673009642,1.5740826554848946,2,2,0,0,2019,2020-03-31,gap_top_5pct
2020-12-31,0.010954938698230388,1.5913266344816794,2,2,0,0,2019,2020-03-31,gap_top_5pct
2021-01-31,-0.04207021660825683,1.5243791782745468,2,2,0,0,2019,2020-03-31,gap_top_5pct
2021-02-28,0.035999952427671955,1.5792567561741642,2,2,0,0,2019,2020-03-31,gap_top_5pct
2021-03-31,-0.009280319169618911,1.564600749426091,2,2,0,0,2019,2020-03-31,gap_top_5pct
2020-04-30,0.1258894346759707,1.1258894346759707,5,5,0,0,2019,2020-03-31,gap_top_10pct
2020-05-31,0.097930390120615,1.2361482262464671,5,5,0,0,2019,2020-03-31,gap_top_10pct
2020-06-30,0.01751940521020834,1.2578048079219593,5,5,0,0,2019,2020-03-31,gap_top_10pct
2020-07-31,0.1275674678471972,1.418259782314594,5,5,0,0,2019,2020-03-31,gap_top_10pct
2020-08-31,0.02004424877001476,1.4466877342118147,5,5,0,0,2019,2020-03-31,gap_top_10pct
2020-09-30,-0.021187226253376767,1.416036433869084,5,5,0,0,2019,2020-03-31,gap_top_10pct
2020-10-31,-0.01614539184927266,1.393173970771421,5,5,0,0,2019,2020-03-31,gap_top_10pct
2020-11-30,0.17222647730857865,1.6331154160353876,5,5,0,0,2019,2020-03-31,gap_top_10pct
