Ticker,FiscalYear,model_type,sector_scope,Sector,MarketCap,m1,m2,m3,SP500MemberYear,SP500AsOfDate,y_actual,score,gap,Strategy,RebalanceDate,buy_date,sell_date,target_sell_date,buy_price,sell_price,position_return,price_status
VRSN,2018,mse,bio_it,Information Technology,21735445848.167175,-0.5126524781541777,0.9904686124948252,0.9662734389199904,2018,2018-12-31,-5.625493385202519,-1.4226533219655495,4.20284006323697,gap_top_5pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,181.55999755859375,180.08999633789062,-0.008096503858063375,normal
LRCX,2018,mse,bio_it,Information Technology,2390488369.302398,0.2385890088542439,1.1258739768430304,1.2136828222782878,2018,2018-12-31,-2.4492249322669624,0.06457858998447125,2.5138035222514334,gap_top_5pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,17.900999069213867,24.0,0.3407072927720103,normal
VRSN,2018,mse,bio_it,Information Technology,21735445848.167175,-0.5126524781541777,0.9904686124948252,0.9662734389199904,2018,2018-12-31,-5.625493385202519,-1.4226533219655495,4.20284006323697,gap_top_10pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,181.55999755859375,180.08999633789062,-0.008096503858063375,normal
LRCX,2018,mse,bio_it,Information Technology,2390488369.302398,0.2385890088542439,1.1258739768430304,1.2136828222782878,2018,2018-12-31,-2.4492249322669624,0.06457858998447125,2.5138035222514334,gap_top_10pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,17.900999069213867,24.0,0.3407072927720103,normal
NVDA,2018,mse,bio_it,Information Technology,3399567056.1274385,0.2431196741416662,1.1725324877851946,1.2865920907515362,2018,2018-12-31,-2.325034082830372,0.08896397994310945,2.4139980627734814,gap_top_10pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,4.488999843597412,6.590000152587891,0.4680330546206415,normal
ANET,2018,mse,bio_it,Information Technology,1488395604.7791004,0.101670451190171,1.7695625283116332,1.406572270917099,2018,2018-12-31,-1.7942518793353046,-0.11061560363578302,1.6836362756995216,gap_top_10pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,19.653749465942383,12.659375190734863,-0.3558798939270057,normal
VRSN,2018,mse,bio_it,Information Technology,21735445848.167175,-0.5126524781541777,0.9904686124948252,0.9662734389199904,2018,2018-12-31,-5.625493385202519,-1.4226533219655495,4.20284006323697,gap_top_20pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,181.55999755859375,180.08999633789062,-0.008096503858063375,normal
LRCX,2018,mse,bio_it,Information Technology,2390488369.302398,0.2385890088542439,1.1258739768430304,1.2136828222782878,2018,2018-12-31,-2.4492249322669624,0.06457858998447125,2.5138035222514334,gap_top_20pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,17.900999069213867,24.0,0.3407072927720103,normal
NVDA,2018,mse,bio_it,Information Technology,3399567056.1274385,0.2431196741416662,1.1725324877851946,1.2865920907515362,2018,2018-12-31,-2.325034082830372,0.08896397994310945,2.4139980627734814,gap_top_20pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,4.488999843597412,6.590000152587891,0.4680330546206415,normal
ANET,2018,mse,bio_it,Information Technology,1488395604.7791004,0.101670451190171,1.7695625283116332,1.406572270917099,2018,2018-12-31,-1.7942518793353046,-0.11061560363578302,1.6836362756995216,gap_top_20pct,2019-03-31,2019-03-31,2020-03-31,2020-03-31,19.653749465942383,12.659375190734863,-0.3558798939270057,normal
