Strategy,status,n_obs,alpha_monthly,alpha_annualized,alpha_tstat,beta_mkt_rf,beta_smb,beta_hml,beta_rmw,beta_cma,mean_monthly_return,mean_monthly_excess_return,r_squared
gap_top_10pct,ok,84,0.01545370280880201,0.20204722681169218,2.7078354430412075,1.2497870750376519,-0.19244346830388961,-0.1004616140504251,-0.008239831900945783,-0.09467097841356363,0.030340194286045157,0.02814971809556897,0.6126508306754226
gap_top_20pct,ok,84,0.01144042193445546,0.14626141397179593,2.5744148954614148,1.2447836806780919,-0.04425158035245592,-0.020133509497450047,-0.03769009631960374,-0.05308666713564221,0.026021832727687814,0.02383135653721162,0.7245366922861203
gap_top_30pct,ok,84,0.008155739484726636,0.10238050178612146,2.1270818844195216,1.1547852910672138,0.0019928658247019134,-0.05236442792320436,-0.05874324561909192,0.016160253386732024,0.02165077739889379,0.019460301208417602,0.7527478836397233
gap_top_5pct,ok,84,0.01647695427232467,0.21666339052661354,2.614707959501248,1.2528820710040725,-0.2007050544690632,-0.01762658998454125,0.06192107160913776,-0.46969773235898427,0.031550160039530824,0.02935968384905463,0.589392170221583
