FiscalYear,RebalanceDate,Strategy,n_selected,n_priced,n_delisted_zero,n_price_missing,return
2018,2019-03-31,gap_top_5pct,15,15,0,0,-0.069495034227833
2018,2019-03-31,gap_top_10pct,30,30,0,0,-0.11137456636813882
2018,2019-03-31,gap_top_20pct,61,61,0,0,-0.1993522111428568
2018,2019-03-31,gap_top_30pct,92,92,0,0,-0.20898186983868505
2019,2020-03-31,gap_top_5pct,16,16,0,0,0.6696180820317525
2019,2020-03-31,gap_top_10pct,32,32,0,0,0.7758440777818227
2019,2020-03-31,gap_top_20pct,64,64,0,0,0.9742257837083697
2019,2020-03-31,gap_top_30pct,96,96,0,0,0.8537114851357744
2020,2021-03-31,gap_top_5pct,16,16,0,0,0.20932349362741542
2020,2021-03-31,gap_top_10pct,33,33,0,0,0.15543703242043178
2020,2021-03-31,gap_top_20pct,66,66,0,0,0.1227082161401493
2020,2021-03-31,gap_top_30pct,99,99,0,0,0.11373033379021241
2021,2022-03-31,gap_top_5pct,17,17,0,0,-0.05479457583270639
2021,2022-03-31,gap_top_10pct,35,35,0,0,-0.07222288341681296
2021,2022-03-31,gap_top_20pct,71,71,0,0,-0.05399908331575895
2021,2022-03-31,gap_top_30pct,106,106,0,0,-0.044302171880448674
2022,2023-03-31,gap_top_5pct,18,18,0,0,0.2175741366573615
2022,2023-03-31,gap_top_10pct,37,37,0,0,0.3172733275196014
2022,2023-03-31,gap_top_20pct,74,74,0,0,0.24063229236060663
2022,2023-03-31,gap_top_30pct,111,111,0,0,0.21688344403605472
2023,2024-03-31,gap_top_5pct,18,18,0,0,0.04863851638506215
2023,2024-03-31,gap_top_10pct,37,37,0,0,0.02828515303965545
2023,2024-03-31,gap_top_20pct,75,75,0,0,0.00977881449542359
2023,2024-03-31,gap_top_30pct,112,112,0,0,0.009188136960791729
2024,2025-03-31,gap_top_5pct,18,18,0,0,0.14193454630589786
2024,2025-03-31,gap_top_10pct,37,37,0,0,0.33144277518467163
2024,2025-03-31,gap_top_20pct,74,74,0,0,0.25711192321869064
2024,2025-03-31,gap_top_30pct,111,111,0,0,0.2537910640746788
