MonthEnd,monthly_return,portfolio_value,n_start_positions,n_active_positions,n_carried_missing,n_terminal_zero,FiscalYear,RebalanceDate,Strategy,MKT_RF,SMB,HML,RMW,CMA,RF,excess_return
2019-04-30,0.025120131215812025,1.0251201312158118,15,15,0,0,2018,2019-03-31,gap_top_5pct,0.0397,-0.0115,0.0213,0.0161,-0.0218,0.0021,0.023020131215812024
2019-05-31,-0.09679317102643237,0.925895503032401,15,15,0,0,2018,2019-03-31,gap_top_5pct,-0.0692,-0.015600000000000001,-0.0245,-0.0048,0.0176,0.0021,-0.09889317102643237
2019-06-30,0.07117593595895677,0.9917969820609212,15,15,0,0,2018,2019-03-31,gap_top_5pct,0.0699,0.0019,-0.0064,0.0045000000000000005,-0.0055000000000000005,0.0018,0.06937593595895677
2019-07-31,0.04675412639444865,1.0381675835178301,15,15,0,0,2018,2019-03-31,gap_top_5pct,0.012199999999999999,-0.0182,0.005,-0.0013,0.0037,0.0019,0.04485412639444865
2019-08-31,-0.01700223341915552,1.0205164159346594,15,15,0,0,2018,2019-03-31,gap_top_5pct,-0.0255,-0.0325,-0.04769999999999999,0.0053,-0.0062,0.0016,-0.018602233419155522
2019-09-30,0.01252643151436672,1.0332998449281519,15,15,0,0,2018,2019-03-31,gap_top_5pct,0.014199999999999999,0.0029,0.0676,0.0182,0.0338,0.0018,0.010726431514366721
2019-10-31,0.04208495363233289,1.07678622099025,15,15,0,0,2018,2019-03-31,gap_top_5pct,0.0207,0.0025,-0.0192,0.0043,-0.0103,0.0015,0.04058495363233289
2019-11-30,0.00018947126736001962,1.0769902410402168,15,15,0,0,2018,2019-03-31,gap_top_5pct,0.0387,0.0039000000000000003,-0.02,-0.016399999999999998,-0.011399999999999999,0.0012,-0.0010105287326399803
2019-12-31,0.03883913359900526,1.1188196088968028,15,15,0,0,2018,2019-03-31,gap_top_5pct,0.0276,0.009899999999999999,0.0173,0.0005,0.011899999999999999,0.0014000000000000002,0.03743913359900526
2020-01-31,0.019226047577533212,1.1403300879281297,15,15,0,0,2018,2019-03-31,gap_top_5pct,-0.0009,-0.0437,-0.0622,-0.011899999999999999,-0.0219,0.0013,0.017926047577533213
2020-02-29,-0.055098839026408775,1.0774992239764072,15,15,0,0,2018,2019-03-31,gap_top_5pct,-0.0815,0.0008,-0.0382,-0.0143,-0.0253,0.0012,-0.056298839026408774
2020-03-31,-0.13642168359228335,0.9305049657721669,15,15,0,0,2018,2019-03-31,gap_top_5pct,-0.1335,-0.0818,-0.1383,-0.0161,0.011899999999999999,0.0012,-0.13762168359228336
