FiscalYear,model_type,sector_scope,train_start,train_end,n_train,n_test,rank_ic,w1,w2,w3,bias,ranknet_loss,n_ranknet_pairs
2018,mse,all,2013,2017,1330,307,0.42669564007447075,0.5969038390190013,-0.027369459259603168,0.073467090601615,-0.09859538035076859,,0
2019,mse,all,2014,2018,1395,321,0.4734884714322938,0.641053216402953,-0.014217793070564363,0.05805096291748561,-0.09238009363403477,,0
2020,mse,all,2015,2019,1472,332,0.40086788682473284,0.6817162828707061,-0.03015343448966807,0.04734491898362357,-0.0895252656144562,,0
2021,mse,all,2016,2020,1537,356,0.48367981526844656,0.5253946647756884,-0.004774864654401642,0.021205500109293278,-0.08466118572025823,,0
2022,mse,all,2017,2021,1611,370,0.5219711721326652,0.5364297723842888,-0.012023556905108056,0.022986530113416486,-0.07631524391479413,,0
2023,mse,all,2018,2022,1686,375,0.6385168507745291,0.5231578112438798,0.001574081149363797,0.031210501901024177,-0.06854532252731167,,0
2024,mse,all,2019,2023,1754,373,0.6651667374928957,0.5838829950153309,0.01692940824354832,0.04730045031545658,-0.06380498588835795,,0
2025,mse,all,2020,2024,1806,382,0.7124905090104088,0.6042912398861935,0.009669022299928238,0.0824185586202645,-0.06293830141210129,,0
