Strategy,status,n_obs,alpha_monthly,alpha_annualized,alpha_tstat,beta_mkt_rf,beta_smb,beta_hml,beta_rmw,beta_cma,mean_monthly_return,mean_monthly_excess_return,r_squared,Experiment,Universe,Model,SectorScope,WindowYears
gap_top_10pct,ok,84,0.0018529257097784,0.0224631139696001,0.86464111196051,1.030538747478275,0.165944172823469,0.1140303197670692,0.1637697192495193,0.1354263898978241,0.0149445581085464,0.0127540819180702,0.8944852939131553,sp500_mse_all_w5,S&P500,mse,all,5
gap_top_20pct,ok,84,-7.899023472561531e-06,-9.478416373709386e-05,-0.004340658710628,1.0352381206271477,0.3197494430480831,0.2060521155663771,0.283707382889048,0.0892972536703647,0.0133750288474784,0.0111845526570022,0.930753986923005,sp500_mse_all_w5,S&P500,mse,all,5
gap_top_30pct,ok,84,-0.0009864257436876,-0.0117730992590213,-0.6503354752868338,1.0047713455934402,0.2910999220442343,0.2555670575855281,0.2558050707364186,0.0729496576454947,0.0121209473373708,0.0099304711468946,0.9485784042833846,sp500_mse_all_w5,S&P500,mse,all,5
gap_top_5pct,ok,84,-0.0004569668640413,-0.005469841304859,-0.1878117631491447,1.011027365793888,0.0715300776428106,-0.0314134081124726,0.3055262012850261,0.1071697531827152,0.0128929617738534,0.0107024855833772,0.8578800346959025,sp500_mse_all_w5,S&P500,mse,all,5
gap_top_10pct,ok,108,0.0009971208549829,0.0120312893550953,0.6363311690162596,1.0345776195384804,0.1551345439713739,0.1014484591329668,0.2037728616638844,0.1301284342612872,0.0132525995551053,0.0112664884439942,0.9154272638810552,sp500_mse_all_w3,S&P500,mse,all,3
gap_top_20pct,ok,108,-0.0003715314102026,-0.0044492778467494,-0.2519175291322836,1.033599835783999,0.2795263460433274,0.2128030523265682,0.2921329771212799,0.1064577066811464,0.0118079808946821,0.009821869783571,0.9314197626278355,sp500_mse_all_w3,S&P500,mse,all,3
gap_top_30pct,ok,108,-0.0011204620902656,-0.0133629950417725,-0.8948857540915144,1.0142111049472655,0.2681106490455723,0.2456209005907646,0.2747529013799565,0.0824157937163691,0.0108287696667567,0.0088426585556456,0.9482726797989198,sp500_mse_all_w3,S&P500,mse,all,3
gap_top_5pct,ok,108,0.001556933162905,0.0188440178637119,0.7569288702627756,1.0068439803983849,0.084496992654441,-0.0420941409390932,0.3102063810052,0.0977585219852788,0.0141225746275455,0.0121364635164344,0.8518576533894258,sp500_mse_all_w3,S&P500,mse,all,3
gap_top_10pct,ok,84,0.015453702808802,0.2020472268116921,2.7078354430412075,1.249787075037652,-0.1924434683038896,-0.1004616140504251,-0.0082398319009457,-0.0946709784135636,0.0303401942860451,0.0281497180955689,0.6126508306754226,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
gap_top_20pct,ok,84,0.0114404219344554,0.1462614139717959,2.5744148954614148,1.244783680678092,-0.0442515803524559,-0.02013350949745,-0.0376900963196037,-0.0530866671356422,0.0260218327276878,0.0238313565372116,0.7245366922861203,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
