Strategy,years,mean_return,cumulative_return,cagr,mdd,sharpe,avg_selected,avg_priced,total_delisted_zero,total_price_missing,Experiment,Universe,Model,SectorScope,WindowYears
gap_top_10pct,7,0.2035264165944616,2.0508824781902817,0.1727451344874635,-0.0722228834168129,0.6632006502797798,34.42857142857143,34.42857142857143,0,0,sp500_mse_all_w5,S&P500,mse,all,5
gap_top_20pct,7,0.1930151050663748,1.6438698228412774,0.1489999497361085,-0.053999083315759,0.5068380254113253,69.28571428571429,69.28571428571429,0,0,sp500_mse_all_w5,S&P500,mse,all,5
gap_top_30pct,7,0.1705743460397683,1.4031203173615792,0.1334346942084483,-0.0443021718804487,0.5010908676039542,103.85714285714286,103.85714285714286,0,0,sp500_mse_all_w5,S&P500,mse,all,5
gap_top_5pct,7,0.1661141664209928,1.589208124898061,0.1455758551158965,-0.0547945758327064,0.6629301941739887,16.857142857142858,16.857142857142858,0,0,sp500_mse_all_w5,S&P500,mse,all,5
gap_top_10pct,9,0.1756405190753615,2.5768991576108933,0.1521280336777293,-0.1160061229400151,0.6625949166739707,33.111111111111114,33.111111111111114,0,0,sp500_mse_all_w3,S&P500,mse,all,3
gap_top_20pct,9,0.1649148893185628,2.023574202227521,0.1308140120464491,-0.1965646699768601,0.4988542966804661,66.55555555555556,66.55555555555556,1,0,sp500_mse_all_w3,S&P500,mse,all,3
gap_top_30pct,9,0.1480158659706383,1.740501171283944,0.1185303608976877,-0.2115941036540018,0.4950136532533061,99.88888888888889,99.88888888888889,1,0,sp500_mse_all_w3,S&P500,mse,all,3
gap_top_5pct,9,0.1810604935710272,2.9370680293722047,0.1644754161412149,-0.069495034227833,0.8252022762056364,16.22222222222222,16.22222222222222,0,0,sp500_mse_all_w3,S&P500,mse,all,3
gap_top_10pct,7,0.433222779237465,8.604189818579313,0.3815020495609369,-0.0545057752688478,1.0535549142694,5.571428571428571,5.571428571428571,0,0,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
gap_top_20pct,7,0.3677766582207575,5.980180820879803,0.3199345043225994,-0.0614200204768134,0.942221779401478,11.571428571428571,11.571428571428571,0,0,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
gap_top_30pct,7,0.2977565685878028,4.060240439695928,0.2606539211965606,-0.0356125319014053,0.8797664574581912,17.571428571428573,17.571428571428573,0,0,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
gap_top_5pct,7,0.4239798117364264,9.220375865909986,0.39382918078869,-0.0153229704243532,1.3738089251548806,2.5714285714285716,2.5714285714285716,0,0,sp500_mse_bio_it_w5,S&P500,mse,bio_it,5
gap_top_10pct,9,0.5117826832744039,26.218270603667293,0.443540415371775,-0.0545057752688478,1.028944182114453,5.222222222222222,5.222222222222222,0,0,sp500_mse_bio_it_w3,S&P500,mse,bio_it,3
gap_top_20pct,9,0.3350004269470543,9.129219429430387,0.2933934711748429,-0.0614200204768133,0.9350277173169376,10.88888888888889,10.88888888888889,0,0,sp500_mse_bio_it_w3,S&P500,mse,bio_it,3
gap_top_30pct,9,0.2761008330456688,6.026644136180355,0.2418899328995971,-0.0356580914044815,0.8582965649636505,16.444444444444443,16.444444444444443,0,0,sp500_mse_bio_it_w3,S&P500,mse,bio_it,3
gap_top_5pct,9,0.3921127590944145,15.674593807052933,0.3670484856813893,-0.015322970424353,1.4159133304759235,2.4444444444444446,2.4444444444444446,0,0,sp500_mse_bio_it_w3,S&P500,mse,bio_it,3
gap_top_10pct,7,0.1781761336816509,1.624651306332468,0.1478030473626077,-0.0722228834168129,0.5829153607409806,34.42857142857143,34.42857142857143,0,0,sp500_ranknet_all_w5,S&P500,ranknet,all,5
gap_top_20pct,7,0.196037548945257,1.7183075323560746,0.1535665531796395,-0.0464980876336491,0.5237628673192605,69.28571428571429,69.28571428571429,0,0,sp500_ranknet_all_w5,S&P500,ranknet,all,5
gap_top_30pct,7,0.1736261317910394,1.452275910088395,0.1367180642999401,-0.0458160409697959,0.5100203670829173,103.85714285714286,103.85714285714286,0,0,sp500_ranknet_all_w5,S&P500,ranknet,all,5
gap_top_5pct,7,0.1662814909607803,1.5924672868767091,0.1457817429233903,-0.0547945758327064,0.6640835519910968,16.857142857142858,16.857142857142858,0,0,sp500_ranknet_all_w5,S&P500,ranknet,all,5
gap_top_10pct,9,0.1967043169423536,3.163180488577397,0.1717231935697418,-0.123543061123524,0.7271103688571385,33.111111111111114,33.111111111111114,0,0,sp500_ranknet_all_w3,S&P500,ranknet,all,3
gap_top_20pct,9,0.1784701967415217,2.3802504215748272,0.144911973610645,-0.187528149760129,0.5431916582033605,66.55555555555556,66.55555555555556,0,0,sp500_ranknet_all_w3,S&P500,ranknet,all,3
gap_top_30pct,9,0.1505450636108243,1.7897146480718424,0.1207445677933536,-0.2053020910054422,0.4997704132061886,99.88888888888889,99.88888888888889,1,0,sp500_ranknet_all_w3,S&P500,ranknet,all,3
gap_top_5pct,9,0.1713381093402375,2.6642784557416057,0.1552218256901765,-0.069495034227833,0.7886202898255853,16.22222222222222,16.22222222222222,0,0,sp500_ranknet_all_w3,S&P500,ranknet,all,3
gap_top_10pct,7,0.5181053197403348,12.160135536262402,0.4450881423213066,-0.0545057752688478,0.9746879165193354,5.571428571428571,5.571428571428571,0,0,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
gap_top_20pct,7,0.3362602996278185,5.000882325183999,0.2917354762569166,-0.0810476523137716,0.8978942544850975,11.571428571428571,11.571428571428571,0,0,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
gap_top_30pct,7,0.2920119303429273,3.9243266727872905,0.2557601399631639,-0.0624145390537362,0.8750794478934563,17.571428571428573,17.571428571428573,0,0,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
gap_top_5pct,7,0.4148245515965079,8.822395442968602,0.3859429222054118,-0.0153229704243532,1.3744322502358726,2.5714285714285716,2.5714285714285716,0,0,sp500_ranknet_bio_it_w5,S&P500,ranknet,bio_it,5
gap_top_10pct,9,0.4768526209540773,21.1189121759395,0.4106465011977165,-0.0545057752688478,0.9675964882514352,5.222222222222222,5.222222222222222,0,0,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
gap_top_20pct,9,0.326537280524774,8.89753446245917,0.290072488077632,-0.0405827462121965,0.9641998432324048,10.88888888888889,10.88888888888889,0,0,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
gap_top_30pct,9,0.2838385863204705,6.5842180542003925,0.2524715450011641,-0.0371540717589859,0.9183616013783448,16.444444444444443,16.444444444444443,0,0,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
gap_top_5pct,9,0.401327176798855,16.434340368396978,0.3738330083034447,-0.015322970424353,1.3659020791333216,2.4444444444444446,2.4444444444444446,0,0,sp500_ranknet_bio_it_w3,S&P500,ranknet,bio_it,3
