ticker,company_name,first_year,last_year,sp500_years,current_price_ticker,price_ticker_to_fill,reason,notes
ACE,Chubb,2011,2015,"2011,2012,2013,2014,2015",ACE,,empty dataframe,
AGN,Allergan,2011,2019,"2011,2012,2013,2014,2015,2016,2017,2018,2019",AGN,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/AGN?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
ALTR,Altera,2011,2014,"2011,2012,2013,2014",ALTR,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/ALTR?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
ANR,Alpha Natural Resources,2011,2011,2011,ANR,,empty dataframe,
APOL,Apollo Education Group,2011,2012,"2011,2012",APOL,,empty dataframe,
ARG,Airgas,2011,2015,"2011,2012,2013,2014,2015",ARG,,empty dataframe,
AVP,Avon Products,2011,2014,"2011,2012,2013,2014",AVP,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/AVP?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
BCR,CR Bard,2011,2017,"2011,2012,2013,2014,2015,2016,2017",BCR,,empty dataframe,
BHI,Baker Hughes,2011,2016,"2011,2012,2013,2014,2015,2016",BHI,,empty dataframe,
BIG,Big Lots,2011,2012,"2011,2012",BIG,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/BIG?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
BRCM,Broadcom Corporation,2011,2015,"2011,2012,2013,2014,2015",BRCM,,empty dataframe,
CELG,Celgene,2011,2018,"2011,2012,2013,2014,2015,2016,2017,2018",CELG,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/CELG?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
CERN,Cerner,2011,2021,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",CERN,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/CERN?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
CFN,Carefusion,2011,2014,"2011,2012,2013,2014",CFN,,empty dataframe,
CHK,Chesapeake Energy,2011,2017,"2011,2012,2013,2014,2015,2016,2017",CHK,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/CHK?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
CMA,Comerica,2011,2023,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",CMA,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/CMA?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
COV,Covidien,2011,2014,"2011,2012,2013,2014",COV,,empty dataframe,
CSC,Computer Sciences Corporation,2011,2014,"2011,2012,2013,2014",CSC,,empty dataframe,
CTXS,Citrix Systems,2011,2021,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",CTXS,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/CTXS?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
CVC,Cablevision Systems,2011,2015,"2011,2012,2013,2014,2015",CVC,,empty dataframe,
CVH,Coventry Health Care,2011,2012,"2011,2012",CVH,,empty dataframe,
DAY,Dayforce,2011,2025,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",DAY,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/DAY?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
DF,Dean Foods,2011,2012,"2011,2012",DF,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/DF?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
DFS,Discover Financial,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",DFS,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/DFS?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
