MonthEnd,monthly_return,portfolio_value,n_start_positions,n_active_positions,n_carried_missing,n_terminal_zero,FiscalYear,RebalanceDate,Strategy,MKT_RF,SMB,HML,RMW,CMA,RF,excess_return
2017-04-30,0.07462252226176691,1.074622522261767,2,2,0,0,2016,2017-03-31,gap_top_5pct,0.0108,0.0040999999999999995,-0.020499999999999997,0.0179,-0.016,0.0005,0.07412252226176691
2017-05-31,0.04403120818189965,1.1219394502564328,2,2,0,0,2016,2017-03-31,gap_top_5pct,0.010700000000000001,-0.029900000000000003,-0.0382,0.009899999999999999,-0.0166,0.0006,0.04343120818189965
2017-06-30,-0.03337948280409753,1.0844896916693596,2,2,0,0,2016,2017-03-31,gap_top_5pct,0.0078000000000000005,0.0252,0.015,-0.0226,0.0004,0.0006,-0.03397948280409753
2017-07-31,0.10821356398850579,1.2018461863136967,2,2,0,0,2016,2017-03-31,gap_top_5pct,0.018799999999999997,-0.016399999999999998,-0.0023,-0.0075,-0.0015,0.0007000000000000001,0.10751356398850578
2017-08-31,0.03345367475303762,1.2420523577338138,2,2,0,0,2016,2017-03-31,gap_top_5pct,0.0018,-0.0183,-0.0213,0.002,-0.023799999999999998,0.0009,0.03255367475303762
2017-09-30,0.0719756828281719,1.331449924290046,2,2,0,0,2016,2017-03-31,gap_top_5pct,0.024900000000000002,0.047599999999999996,0.0315,-0.0154,0.0163,0.0009,0.07107568282817191
2017-10-31,0.07371087378940633,1.4295922616163041,2,2,0,0,2016,2017-03-31,gap_top_5pct,0.0225,-0.0191,0.0013,0.0092,-0.031400000000000004,0.0009,0.07281087378940633
2017-11-30,-0.013816095647281479,1.4098408781932,2,2,0,0,2016,2017-03-31,gap_top_5pct,0.031200000000000002,-0.0038,-0.0009,0.0319,-0.001,0.0008,-0.01461609564728148
2017-12-31,-0.025508857798448914,1.3738774477129292,2,2,0,0,2016,2017-03-31,gap_top_5pct,0.0106,-0.0105,0.0005,0.0073,0.0179,0.0009,-0.026408857798448915
2018-01-31,0.023128036850042166,1.4056525359510756,2,2,0,0,2016,2017-03-31,gap_top_5pct,0.0558,-0.0321,-0.0132,-0.0075,-0.0105,0.0011,0.022028036850042166
2018-02-28,0.005433962219593136,1.4132907987253092,2,2,0,0,2016,2017-03-31,gap_top_5pct,-0.0364,0.0034000000000000002,-0.011000000000000001,0.0053,-0.0236,0.0011,0.004333962219593136
2018-03-31,0.04146072857938354,1.4718868649349994,2,2,0,0,2016,2017-03-31,gap_top_5pct,-0.0235,0.0361,-0.0021,-0.0040999999999999995,0.0008,0.0012,0.040260728579383544
2017-04-30,0.059895307076687,1.059895307076687,4,4,0,0,2016,2017-03-31,gap_top_10pct,0.0108,0.0040999999999999995,-0.020499999999999997,0.0179,-0.016,0.0005,0.059395307076687
2017-05-31,0.11526486122623703,1.1820639925612213,4,4,0,0,2016,2017-03-31,gap_top_10pct,0.010700000000000001,-0.029900000000000003,-0.0382,0.009899999999999999,-0.0166,0.0006,0.11466486122623702
2017-06-30,-0.018015930597508056,1.160768009709425,4,4,0,0,2016,2017-03-31,gap_top_10pct,0.0078000000000000005,0.0252,0.015,-0.0226,0.0004,0.0006,-0.018615930597508056
2017-07-31,0.1325564527128471,1.3146352994990582,4,4,0,0,2016,2017-03-31,gap_top_10pct,0.018799999999999997,-0.016399999999999998,-0.0023,-0.0075,-0.0015,0.0007000000000000001,0.1318564527128471
2017-08-31,0.019014599505602137,1.3396325632149602,4,4,0,0,2016,2017-03-31,gap_top_10pct,0.0018,-0.0183,-0.0213,0.002,-0.023799999999999998,0.0009,0.018114599505602135
2017-09-30,0.013094874868740058,1.3571748840003495,4,4,0,0,2016,2017-03-31,gap_top_10pct,0.024900000000000002,0.047599999999999996,0.0315,-0.0154,0.0163,0.0009,0.012194874868740059
2017-10-31,0.11605546155121282,1.514682441568724,4,4,0,0,2016,2017-03-31,gap_top_10pct,0.0225,-0.0191,0.0013,0.0092,-0.031400000000000004,0.0009,0.11515546155121283
2017-11-30,0.041046892893946696,1.576855449516137,4,4,0,0,2016,2017-03-31,gap_top_10pct,0.031200000000000002,-0.0038,-0.0009,0.0319,-0.001,0.0008,0.040246892893946694
2017-12-31,0.017413690600113663,1.6043143224351142,4,4,0,0,2016,2017-03-31,gap_top_10pct,0.0106,-0.0105,0.0005,0.0073,0.0179,0.0009,0.01651369060011366
2018-01-31,0.0059379727863349,1.6138406972224613,4,4,0,0,2016,2017-03-31,gap_top_10pct,0.0558,-0.0321,-0.0132,-0.0075,-0.0105,0.0011,0.004837972786334899
2018-02-28,-0.010800513708193349,1.5964103886492698,4,4,0,0,2016,2017-03-31,gap_top_10pct,-0.0364,0.0034000000000000002,-0.011000000000000001,0.0053,-0.0236,0.0011,-0.01190051370819335
2018-03-31,0.05406141811215215,1.6827145981486211,4,4,0,0,2016,2017-03-31,gap_top_10pct,-0.0235,0.0361,-0.0021,-0.0040999999999999995,0.0008,0.0012,0.05286141811215215
2017-04-30,0.04688545204576644,1.0468854520457664,8,8,0,0,2016,2017-03-31,gap_top_20pct,0.0108,0.0040999999999999995,-0.020499999999999997,0.0179,-0.016,0.0005,0.04638545204576644
2017-05-31,0.052051434855618695,1.1013773419542217,8,8,0,0,2016,2017-03-31,gap_top_20pct,0.010700000000000001,-0.029900000000000003,-0.0382,0.009899999999999999,-0.0166,0.0006,0.05145143485561869
2017-06-30,-0.010697875751653152,1.0895949439943093,8,8,0,0,2016,2017-03-31,gap_top_20pct,0.0078000000000000005,0.0252,0.015,-0.0226,0.0004,0.0006,-0.011297875751653152
2017-07-31,0.08949819988867924,1.1871117300896064,8,8,0,0,2016,2017-03-31,gap_top_20pct,0.018799999999999997,-0.016399999999999998,-0.0023,-0.0075,-0.0015,0.0007000000000000001,0.08879819988867924
2017-08-31,0.029286110390424946,1.2218776152627788,8,8,0,0,2016,2017-03-31,gap_top_20pct,0.0018,-0.0183,-0.0213,0.002,-0.023799999999999998,0.0009,0.028386110390424945
2017-09-30,0.015563767403767859,1.2408946342625993,8,8,0,0,2016,2017-03-31,gap_top_20pct,0.024900000000000002,0.047599999999999996,0.0315,-0.0154,0.0163,0.0009,0.014663767403767859
2017-10-31,0.06030312302323537,1.3157244560514094,8,8,0,0,2016,2017-03-31,gap_top_20pct,0.0225,-0.0191,0.0013,0.0092,-0.031400000000000004,0.0009,0.059403123023235374
2017-11-30,0.005252786607975457,1.322635675853942,8,8,0,0,2016,2017-03-31,gap_top_20pct,0.031200000000000002,-0.0038,-0.0009,0.0319,-0.001,0.0008,0.004452786607975457
2017-12-31,0.00027030480053702455,1.3229931906264867,8,8,0,0,2016,2017-03-31,gap_top_20pct,0.0106,-0.0105,0.0005,0.0073,0.0179,0.0009,-0.0006296951994629754
2018-01-31,0.035376478329165684,1.3697960305643184,8,8,0,0,2016,2017-03-31,gap_top_20pct,0.0558,-0.0321,-0.0132,-0.0075,-0.0105,0.0011,0.03427647832916569
2018-02-28,-0.01988465791817895,1.3425581050788675,8,8,0,0,2016,2017-03-31,gap_top_20pct,-0.0364,0.0034000000000000002,-0.011000000000000001,0.0053,-0.0236,0.0011,-0.02098465791817895
2018-03-31,0.02524686303395507,1.3764534856729198,8,8,0,0,2016,2017-03-31,gap_top_20pct,-0.0235,0.0361,-0.0021,-0.0040999999999999995,0.0008,0.0012,0.02404686303395507
2017-04-30,0.03698449516133562,1.0369844951613356,12,12,0,0,2016,2017-03-31,gap_top_30pct,0.0108,0.0040999999999999995,-0.020499999999999997,0.0179,-0.016,0.0005,0.03648449516133562
2017-05-31,0.03277807054719095,1.070974846100077,12,12,0,0,2016,2017-03-31,gap_top_30pct,0.010700000000000001,-0.029900000000000003,-0.0382,0.009899999999999999,-0.0166,0.0006,0.03217807054719095
2017-06-30,-0.0029274692048254503,1.0678396002189763,12,12,0,0,2016,2017-03-31,gap_top_30pct,0.0078000000000000005,0.0252,0.015,-0.0226,0.0004,0.0006,-0.00352746920482545
2017-07-31,0.0726901331492864,1.1454610029409744,12,12,0,0,2016,2017-03-31,gap_top_30pct,0.018799999999999997,-0.016399999999999998,-0.0023,-0.0075,-0.0015,0.0007000000000000001,0.0719901331492864
