year,ticker,cik,sector,industry,name,date_added,is_current_constituent,source,as_of_date,price_ticker,sec_ticker,in_dataset_universe
2019,IFF,0000051253,Materials,Specialty Chemicals,International Flavors & Fragrances,1976-03-31,True,cached_current,2019-12-31,IFF,IFF,True
2019,ILMN,0001110803,Unknown,Unknown,"Illumina, Inc.",,False,wikipedia_removed,2019-12-31,ILMN,ILMN,True
2019,INCY,0000879169,Health Care,Biotechnology,Incyte,2017-02-28,True,cached_current,2019-12-31,INCY,INCY,True
2019,INFO,1598014,Unknown,Unknown,IHS Markit,,False,wikipedia_removed,2019-12-31,INFO,INFO,True
2019,INTC,0000050863,Information Technology,Semiconductors,Intel,1976-12-31,True,cached_current,2019-12-31,INTC,INTC,True
2019,INTU,0000896878,Information Technology,Application Software,Intuit,2000-12-05,True,cached_current,2019-12-31,INTU,INTU,True
2019,IP,0000051434,Materials,Paper & Plastic Packaging Products & Materials,International Paper,1957-03-04,True,cached_current,2019-12-31,IP,IP,True
2019,IPG,51644,Unknown,Unknown,Interpublic Group,,False,wikipedia_removed,2019-12-31,IPG,IPG,True
2019,IPGP,0001111928,Unknown,Unknown,IPG Photonics,,False,wikipedia_removed,2019-12-31,IPGP,IPGP,True
2019,IQV,0001478242,Health Care,Life Sciences Tools & Services,IQVIA,2017-08-29,True,cached_current,2019-12-31,IQV,IQV,True
2019,IRM,0001020569,Real Estate,Other Specialized REITs,Iron Mountain,2009-01-06,True,cached_current,2019-12-31,IRM,IRM,True
2019,ISRG,0001035267,Health Care,Health Care Equipment,Intuitive Surgical,2008-06-02,True,cached_current,2019-12-31,ISRG,ISRG,True
2019,IT,0000749251,Information Technology,IT Consulting & Other Services,Gartner,2017-04-05,True,cached_current,2019-12-31,IT,IT,True
2019,ITW,0000049826,Industrials,Industrial Machinery & Supplies & Components,Illinois Tool Works,1986-02-28,True,cached_current,2019-12-31,ITW,ITW,True
2019,IVZ,0000914208,Financials,Asset Management & Custody Banks,Invesco,2008-08-21,True,cached_current,2019-12-31,IVZ,IVZ,True
2019,J,0000052988,Industrials,Construction & Engineering,Jacobs Solutions,2007-10-26,True,cached_current,2019-12-31,J,J,True
2019,JBHT,0000728535,Industrials,Cargo Ground Transportation,J.B. Hunt,2015-07-01,True,cached_current,2019-12-31,JBHT,JBHT,True
2019,JCI,0000833444,Industrials,Building Products,Johnson Controls,2010-08-27,True,cached_current,2019-12-31,JCI,JCI,True
2019,JKHY,0000779152,Financials,Transaction & Payment Processing Services,Jack Henry & Associates,2018-11-13,True,cached_current,2019-12-31,JKHY,JKHY,True
2019,JNJ,0000200406,Health Care,Pharmaceuticals,Johnson & Johnson,1973-06-30,True,cached_current,2019-12-31,JNJ,JNJ,True
2019,JNPR,1043604,Unknown,Unknown,Juniper Networks,,False,wikipedia_removed,2019-12-31,JNPR,JNPR,True
2019,JPM,0000019617,Financials,Diversified Banks,JPMorgan Chase,1975-06-30,True,cached_current,2019-12-31,JPM,JPM,True
2019,JWN,72333,Unknown,Unknown,Nordstrom,,False,wikipedia_removed,2019-12-31,JWN,JWN,True
2019,K,55067,Unknown,Unknown,Kellanova,,False,wikipedia_removed,2019-12-31,K,K,True
2019,KEY,0000091576,Financials,Regional Banks,KeyCorp,1994-03-01,True,cached_current,2019-12-31,KEY,KEY,True
2019,KEYS,0001601046,Information Technology,Electronic Equipment & Instruments,Keysight Technologies,2018-11-06,True,cached_current,2019-12-31,KEYS,KEYS,True
2019,KHC,0001637459,Consumer Staples,Packaged Foods & Meats,Kraft Heinz,2015-07-06,True,cached_current,2019-12-31,KHC,KHC,True
2019,KIM,0000879101,Real Estate,Retail REITs,Kimco Realty,2006-04-04,True,cached_current,2019-12-31,KIM,KIM,True
2019,KLAC,0000319201,Information Technology,Semiconductor Materials & Equipment,KLA Corporation,1997-09-30,True,cached_current,2019-12-31,KLAC,KLAC,True
2019,KMB,0000055785,Consumer Staples,Household Products,Kimberly-Clark,1957-03-04,True,cached_current,2019-12-31,KMB,KMB,True
2019,KMI,0001506307,Energy,Oil & Gas Storage & Transportation,Kinder Morgan,2012-05-25,True,cached_current,2019-12-31,KMI,KMI,True
2019,KMX,0001170010,Unknown,Unknown,CarMax,,False,wikipedia_removed,2019-12-31,KMX,KMX,True
2019,KO,0000021344,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Coca-Cola Company (The),1957-03-04,True,cached_current,2019-12-31,KO,KO,True
2019,KR,0000056873,Consumer Staples,Food Retail,Kroger,1957-03-04,True,cached_current,2019-12-31,KR,KR,True
2019,KSS,0000885639,Unknown,Unknown,Kohl's,,False,wikipedia_removed,2019-12-31,KSS,KSS,True
2019,KSU,54480,Unknown,Unknown,Kansas City Southern,,False,wikipedia_removed,2019-12-31,KSU,KSU,True
2019,L,0000060086,Financials,Multi-line Insurance,Loews Corporation,1995-05-31,True,cached_current,2019-12-31,L,L,True
2019,LDOS,0001336920,Industrials,Diversified Support Services,Leidos,2019-08-09,True,cached_current,2019-12-31,LDOS,LDOS,True
2019,LEG,0000058492,Unknown,Unknown,Leggett & Platt,,False,wikipedia_removed,2019-12-31,LEG,LEG,True
